Acc	Subgenus	Genus	Country	Continent	Brazilian State	Biome	Host	Name	Collection_Date
PP869955	Unclassified	Alphacoronavirus	Mexico	North America		Tropical RainForest	Glossophaga mutica	Bat alphacoronavirus MEM270C	30/06/2022
PP869957	Unclassified	Alphacoronavirus	Mexico	North America		Tropical RainForest	Glossophaga mutica	Bat alphacoronavirus MEM273C	30/06/2022
PP869959	Unclassified	Alphacoronavirus	Mexico	North America		Tropical RainForest	Artibeus jamaicensis	Bat alphacoronavirus MEM292C	01/07/2022
PP977518	Unclassified	Alphacoronavirus	Spain		Europe	Other	Sus scrofa	Bat coronavirus F23_84	2023
PQ493292	Unclassified	Alphacoronavirus	Brazil	South America	Mato Grosso	Pantanal	Carollia perspicillata	Bat alphacoronavirus SP04	10/07/2021
PQ493293	Unclassified	Alphacoronavirus	Brazil	South America	Mato Grosso	Pantanal	Carollia perspicillata	Bat alphacoronavirus SL61	26/08/2021
PQ493294	Unclassified	Alphacoronavirus	Brazil	South America	Mato Grosso	Pantanal	Carollia perspicillata	Bat alphacoronavirus SL64	26/08/2021
PQ493295	Unclassified	Alphacoronavirus	Brazil	South America	Mato Grosso	Pantanal	Carollia perspicillata	Bat alphacoronavirus SL74	26/08/2021
PQ493296	Unclassified	Alphacoronavirus	Brazil	South America	Mato Grosso	Pantanal	Desmodus rotundus	Bat alphacoronavirus JS199	23/07/2021
PQ493297	Unclassified	Alphacoronavirus	Brazil	South America	Mato Grosso	Pantanal	Phyllostomus discolor	Bat alphacoronavirus JS185	15/07/2021
PV449172	Unclassified	Alphacoronavirus	Brazil	South America	Mato Grosso	Cerrado	Anoura caudifer		17/06/2023
PV449173	Unclassified	Alphacoronavirus	Brazil	South America	Mato Grosso	Cerrado	Carollia brevicauda		20/06/2023
